Time (s)	Load (N)	Extension (mm)	Deflection from Preload (mm)
0.0000			
0.6727	0.0056727	0.013627	-0.31553
1.345	0.060148	0.058703	-0.27045
2.018	0.11893	0.10360	-0.22556
2.691	0.18104	0.14880	-0.18036
3.364	0.25072	0.19360	-0.13555
4.036	0.32846	0.23873	-0.090425
4.709	0.41054	0.28386	-0.045296
5.382	0.49915	0.32874	-0.00041978
6.054	0.58794	0.37380	0.044640
6.727	0.67324	0.41879	0.089639
7.400	0.76342	0.46378	0.13463
8.073	0.85359	0.50893	0.17977
8.745	0.94376	0.55384	0.22468
9.418	1.0336	0.59904	0.26988
10.09	1.1196	0.64399	0.31484
10.76	1.1970	0.68889	0.35974
11.44	1.2674	0.73411	0.40496
12.11	1.3486	0.77913	0.44997
12.78	1.4301	0.82400	0.49484
13.45	1.5114	0.86910	0.53995
14.13	1.5457	0.91396	0.58480
14.80	1.6124	0.95921	0.63005
15.47	1.6798	1.0041	0.67490
16.15	1.7569	1.0492	0.72009
16.82	1.8276	1.0943	0.76512
17.49	1.8958	1.1393	0.81014
18.16	1.9643	1.1842	0.85507
18.84	2.0335	1.2293	0.90015
19.51	2.1004	1.2744	0.94522
20.18	2.1638	1.3193	0.99016
20.85	2.2290	1.3642	1.0351
21.53	2.2945	1.4095	1.0803
22.20	2.3586	1.4544	1.1252
22.87	2.4241	1.4994	1.1703
23.54	2.4889	1.5444	1.2152
24.22	2.5522	1.5895	1.2603
24.89	2.6149	1.6344	1.3053
25.56	2.6715	1.6794	1.3503
26.24	2.7297	1.7247	1.3955
26.91	2.7868	1.7696	1.4404
27.58	2.8402	1.8146	1.4855
28.25	2.8903	1.8597	1.5305
28.93	2.9363	1.9047	1.5755
29.60	2.9831	1.9496	1.6205
30.27	3.0269	1.9947	1.6655
30.94	3.0660	2.0397	1.7105
31.62	3.1067	2.0847	1.7555
32.29	3.1501	2.1298	1.8006
32.96	3.1940	2.1747	1.8455
33.64	3.2339	2.2198	1.8907
34.31	3.2734	2.2647	1.9356
34.98	3.3133	2.3099	1.9807
35.65	3.3477	2.3548	2.0256
36.33	3.3815	2.3998	2.0707
37.00	3.4154	2.4448	2.1157
37.67	3.4471	2.4899	2.1607
38.34	3.4793	2.5350	2.2058
39.02	3.5090	2.5799	2.2508
39.69	3.5416	2.6250	2.2958
40.36	3.5736	2.6701	2.3410
41.04	3.6014	2.7151	2.3859
41.71	3.6302	2.7600	2.4308
42.38	3.6526	2.8051	2.4759
43.05	3.6427	2.8501	2.5209
43.73	3.6535	2.8950	2.5659
44.40	3.6759	2.9402	2.6110
45.07	3.6999	2.9851	2.6560
45.74	3.6911	3.0302	2.7010
46.42	3.7143	3.0753	2.7461
47.09	3.7380	3.1203	2.7912
47.76	3.7623	3.1652	2.8360
48.44	3.7849	3.2102	2.8810
49.11	3.8122	3.2553	2.9261
49.78	3.8361	3.3003	2.9711
50.45	3.8571	3.3454	3.0163
51.13	3.8781	3.3903	3.0612
51.80	3.8993	3.4355	3.1063
52.47	3.9202	3.4804	3.1513
53.14	3.9391	3.5254	3.1963
53.82	3.9532	3.5704	3.2413
54.49	3.9705	3.6155	3.2863
55.16	3.9879	3.6604	3.3313
55.83	4.0029	3.7056	3.3764
56.51	4.0133	3.7506	3.4214
57.18	4.0270	3.7955	3.4663
57.85	4.0406	3.8407	3.5115
58.53	4.0536	3.8856	3.5564
59.20	4.0640	3.9306	3.6014
59.87	4.0693	3.9758	3.6466
60.54	4.0825	4.0207	3.6916
61.22	4.0952	4.0657	3.7365
61.89	4.1082	4.1107	3.7815
62.56	4.1225	4.1558	3.8267
63.23	4.1378	4.2007	3.8716
63.91	4.1485	4.2459	3.9167
64.58	4.1578	4.2908	3.9617
65.25	4.1715	4.3359	4.0067
65.93	4.1849	4.3809	4.0518
66.60	4.1988	4.4259	4.0967
67.27	4.2131	4.4710	4.1418
67.94	4.2271	4.5159	4.1868
68.62	4.2300	4.5609	4.2318
69.29	4.2256	4.6060	4.2769
69.96	4.2309	4.6509	4.3218
70.63	4.2418	4.6960	4.3669
71.31	4.2514	4.7410	4.4118
71.98	4.2599	4.7861	4.4570
72.65	4.2682	4.8311	4.5020
73.33	4.2777	4.8762	4.5470
74.00	4.2884	4.9211	4.5919
74.67	4.2961	4.9661	4.6370
75.34	4.3043	5.0111	4.6819
76.02	4.3146	5.0563	4.7271
76.69	4.3258	5.1013	4.7721
77.36	4.3371	5.1463	4.8172
78.03	4.3490	5.1913	4.8622
78.71	4.3581	5.2364	4.9072
79.38	4.3678	5.2813	4.9522
80.05	4.3774	5.3263	4.9972
80.73	4.3917	5.3714	5.0423
81.40	4.4048	5.4165	5.0873
82.07	4.4142	5.4614	5.1323
82.74	4.3713	5.5064	5.1773
83.42	4.3633	5.5515	5.2223
84.09	4.3723	5.5964	5.2672
84.76	4.3824	5.6414	5.3122
85.43	4.3972	5.6865	5.3574
86.11	4.4154	5.7316	5.4024
86.78	4.4301	5.7767	5.4475
87.45	4.4448	5.8217	5.4925
88.12	4.4594	5.8666	5.5375
88.80	4.4720	5.9116	5.5824
89.47	4.4790	5.9566	5.6275
90.14	4.4881	6.0018	5.6726
90.82	4.4903	6.0466	5.7175
91.49	4.4843	6.0918	5.7626
92.16	4.4832	6.1368	5.8076
92.83	4.4869	6.1819	5.8527
93.51	4.5012	6.2268	5.8977
94.18	4.5192	6.2719	5.9428
94.85	4.5378	6.3168	5.9877
95.52	4.5579	6.3618	6.0327
96.20	4.5780	6.4068	6.0777
96.87	4.5942	6.4520	6.1228
97.54	4.6160	6.4969	6.1677
98.22	4.6332	6.5419	6.2127
98.89	4.6515	6.5870	6.2579
99.56	4.6691	6.6321	6.3029
100.2	4.6859	6.6770	6.3479
100.9	4.7034	6.7220	6.3928
101.6	4.7173	6.7671	6.4379
102.3	4.7338	6.8120	6.4829
102.9	4.7512	6.8572	6.5280
103.6	4.7668	6.9022	6.5730
104.3	4.7832	6.9471	6.6180
104.9	4.7980	6.9921	6.6630
105.6	4.8113	7.0372	6.7081
106.3	4.8272	7.0823	6.7532
107.0	4.8452	7.1273	6.7981
107.6	4.8618	7.1723	6.8431
108.3	4.8784	7.2173	6.8882
109.0	4.8956	7.2624	6.9333
109.7	4.9133	7.3074	6.9783
110.3	4.9313	7.3525	7.0233
111.0	4.9477	7.3975	7.0683
111.7	4.9653	7.4425	7.1133
112.3	4.9828	7.4874	7.1583
113.0	5.0005	7.5326	7.2034
113.7	5.0202	7.5775	7.2483
114.4	5.0399	7.6225	7.2934
115.0	5.0596	7.6675	7.3383
115.7	5.0782	7.7126	7.3834
116.4	5.0967	7.7575	7.4284
117.1	5.1151	7.8026	7.4734
117.7	5.1336	7.8476	7.5184
118.4	5.1492	7.8927	7.5636
119.1	5.1674	7.9377	7.6086
119.7	5.1852	7.9827	7.6535
120.4	5.2031	8.0278	7.6986
121.1	5.2209	8.0729	7.7437
121.8	5.2399	8.1178	7.7887
122.4	5.2545	8.1627	7.8336
123.1	5.2715	8.2079	7.8787
123.8	5.2884	8.2529	7.9238
124.5	5.3090	8.2978	7.9687
125.1	5.3273	8.3430	8.0138
125.8	5.3456	8.3880	8.0589
126.5	5.3670	8.4330	8.1039
127.1	5.3866	8.4779	8.1488
127.8	5.4057	8.5230	8.1939
128.5	5.4219	8.5680	8.2389
129.2	5.4395	8.6130	8.2838
129.8	5.4641	8.6580	8.3288
130.5	5.4849	8.7031	8.3739
131.2	5.5054	8.7482	8.4190
131.9	5.5237	8.7931	8.4640
132.5	5.5433	8.8381	8.5089
133.2	5.5617	8.8831	8.5540
133.9	0.076294		
